Host	Label	FirstInfection	FirstIngested	FirstIntensity	SecondInfection	SecondIngested	SecondIntensity_inf	pre_infected_inf	dead_inf	SecondIntensity_naive	pre_infected_naive	dead_naive	HostOffered	hom_het
Mytilus	I2	Intestinalis	22	3	Orientalis	25	16	none	alive	1	none	alive	NA	heterologous
Mytilus	I4	Intestinalis	20	6	Orientalis	21	8	none	alive	3	none	alive	NA	heterologous
Mytilus	I5	Intestinalis	25	6	Orientalis	21	11	none	alive	2	preinfected	alive	NA	heterologous
Mytilus	I9	Intestinalis	24	3	Orientalis	24	7	none	alive	1	none	alive	NA	heterologous
Mytilus	I8(Ersatz)	Intestinalis	18	19	Orientalis	25	3	none	alive	4	none	alive	NA	heterologous
Mytilus	I11	Intestinalis	24	5	Orientalis	25	4	none	alive	6	preinfected	alive	NA	heterologous
Mytilus	I12	Intestinalis	20	1	Orientalis	25	6	none	alive	NA	none	dead	NA	heterologous
Mytilus	I25	Intestinalis	25	12	Orientalis	25	9	none	alive	10	none	alive	NA	heterologous
Mytilus	I26	Intestinalis	24	5	Orientalis	25	13	none	alive	10	none	alive	NA	heterologous
Mytilus	I27	Intestinalis	24	10	Orientalis	25	5	none	alive	4	none	alive	NA	heterologous
Mytilus	I32	Intestinalis	22	1	Orientalis	25	12	none	alive	0	none	alive	NA	heterologous
Mytilus	I33	Intestinalis	21	8	Orientalis	24	10	preinfected	alive	3	none	alive	NA	heterologous
Mytilus	I34	Intestinalis	25	19	Orientalis	25	20	none	alive	2	none	alive	NA	heterologous
Mytilus	I6	Intestinalis	18	12	Intestinalis	25	1	none	alive	3	none	alive	NA	homologous
Mytilus	I7	Intestinalis	18	9	Intestinalis	24	2	none	alive	5	none	alive	NA	homologous
Mytilus	I13	Intestinalis	24	11	Intestinalis	22	2	none	alive	6	none	alive	NA	homologous
Mytilus	I3neu	Intestinalis	25	13	Intestinalis	25	9	none	alive	7	none	alive	NA	homologous
Mytilus	I14	Intestinalis	24	10	Intestinalis	25	1	none	alive	20	none	alive	NA	homologous
Mytilus	I15	Intestinalis	23	13	Intestinalis	25	4	none	alive	8	none	alive	NA	homologous
Mytilus	I16	Intestinalis	22	4	Intestinalis	25	12	none	alive	1	none	alive	NA	homologous
Mytilus	I21	Intestinalis	24	NA	Intestinalis	24	NA	none	dead	6	none	alive	NA	homologous
Mytilus	I28	Intestinalis	25	8	Intestinalis	25	5	none	alive	2	none	alive	NA	homologous
Mytilus	I29	Intestinalis	24	10	Intestinalis	23	5	none	alive	3	preinfected	alive	NA	homologous
Mytilus	I24	Intestinalis	24	6	Intestinalis	25	2	none	alive	3	none	alive	NA	homologous
Mytilus	I30	Intestinalis	25	4	Intestinalis	22	8	none	alive	2	none	alive	NA	homologous
Mytilus	I31	Intestinalis	20	2	Intestinalis	22	5	none	alive	0	none	alive	NA	homologous
Mytilus	O6	Orientalis	20	0	Orientalis	18	16	none	alive	1	none	alive	NA	homologous
Mytilus	O8	Orientalis	23	0	Orientalis	25	8	none	alive	0	none	alive	NA	homologous
Mytilus	O9	Orientalis	21	4	Orientalis	24	11	none	alive	3	none	alive	NA	homologous
Mytilus	O12	Orientalis	22	0	Orientalis	25	1	none	alive	8	none	alive	NA	homologous
Mytilus	O13	Orientalis	21	0	Orientalis	25	5	preinfected	alive	11	none	alive	NA	homologous
Mytilus	O14	Orientalis	22	12	Orientalis	25	6	none	alive	7	none	alive	NA	homologous
Mytilus	O16	Orientalis	25	6	Orientalis	24	12	none	alive	5	none	alive	NA	homologous
Mytilus	O22	Orientalis	23	NA	Orientalis	25	NA	none	dead	NA	none	dead	NA	homologous
Mytilus	O23	Orientalis	25	1	Orientalis	24	5	none	alive	7	none	alive	NA	homologous
Mytilus	O24	Orientalis	25	8	Orientalis	25	9	none	alive	13	none	alive	NA	homologous
Mytilus	O29	Orientalis	25	7	Orientalis	23	3	none	alive	5	none	alive	NA	homologous
Mytilus	O30	Orientalis	21	3	Orientalis	25	8	none	alive	4	none	alive	NA	homologous
Mytilus	O31	Orientalis	22	NA	Orientalis	25	NA	none	dead	5	none	alive	NA	homologous
Mytilus	O10	Orientalis	22	2	Intestinalis	25	0	none	alive	0	preinfected	alive	NA	heterologous
Mytilus	O11	Orientalis	24	3	Intestinalis	24	3	none	alive	16	preinfected	alive	NA	heterologous
Mytilus	O15	Orientalis	25	3	Intestinalis	25	7	none	alive	1	none	alive	NA	heterologous
Mytilus	O17	Orientalis	25	3	Intestinalis	25	2	none	alive	9	none	alive	NA	heterologous
Mytilus	O18	Orientalis	23	5	Intestinalis	25	3	none	alive	6	none	alive	NA	heterologous
Mytilus	O19	Orientalis	21	0	Intestinalis	25	0	none	alive	NA	none	dead	NA	heterologous
Mytilus	O20	Orientalis	25	5	Intestinalis	24	2	none	alive	14	none	alive	NA	heterologous
Mytilus	O21	Orientalis	24	0	Intestinalis	25	2	none	alive	15	none	alive	NA	heterologous
Mytilus	O25	Orientalis	24	NA	Intestinalis	23	NA	none	dead	0	none	alive	NA	heterologous
Mytilus	O26	Orientalis	24	0	Intestinalis	25	0	none	alive	6	none	alive	NA	heterologous
Mytilus	O27	Orientalis	22	4	Intestinalis	23	3	none	alive	0	none	alive	NA	heterologous
Mytilus	O28	Orientalis	23	1	Intestinalis	24	7	none	alive	11	none	alive	NA	heterologous
