Year	Month	Year_month	monthnum	Mussel	size	Barn_amount	Barn_prop	Barn_old	Mint_m	Mint_f	Mint_eggs	sum_int	Mori_m	Mori_f	Mori_eggs	sum_ori	juv	oyster	O_size	O_Mori_m	O_Mori_f	O_Mori_eggs	O_Mori_sum	O_Mori_juv
2013	Januar	2013_Januar	1	40	52	13	NA	NA	5	5	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	41	48	8.4	NA	NA	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	42	56	14	NA	NA	0	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	43	63	22.1	NA	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	44	63	27.3	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	45	55	14.2	NA	NA	0	3	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	46	56	15	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	47	60	21.7	NA	NA	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	48	52	11.5	NA	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	49	56	15.2	NA	NA	6	3	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	50	50	8.1	NA	NA	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	51	47	6.6	NA	NA	7	5	0	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	52	53	13.6	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	53	47	8.7	NA	NA	6	2	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	54	48	9.7	NA	NA	0	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	55	53	14.4	NA	NA	12	4	1	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	56	55	12.3	NA	NA	3	7	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	57	56	15.6	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	58	48	9.4	NA	NA	5	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	59	48	11.3	NA	NA	5	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Januar	2013_Januar	1	60	56	17.1	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	61	50	8	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	62	54	14.9	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	63	50	9	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	64	52	10	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	65	53	12.3	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	66	53	9.7	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	67	50	9.5	NA	NA	3	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	68	64	25.5	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	69	53	14.4	NA	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	70	52	11.8	NA	NA	0	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	71	53	11.9	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	72	50	10.1	NA	NA	4	4	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	73	57	15.1	NA	NA	2	3	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	74	53	11.1	NA	NA	5	3	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	75	52	12.5	NA	NA	2	3	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	76	52	12.1	NA	NA	5	2	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	77	56	11.5	NA	NA	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	78	55	14.5	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	79	57	15.8	NA	NA	2	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	Februar	2013_Februar	2	80	60	17.9	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	81	61	21.2	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	82	55	16.5	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	83	50	9.4	NA	NA	0	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	84	55	16.4	NA	NA	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	85	60	20.2	NA	NA	6	3	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	86	63	23.9	NA	NA	5	2	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	87	55	14	NA	NA	7	3	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	88	62	16.7	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	89	53	16.8	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	90	57	21.7	NA	NA	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	91	56	17.6	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	92	62	22.7	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	93	55	12.2	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	94	54	16.1	NA	NA	0	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	95	54	11.7	NA	NA	1	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	96	57	20.4	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	97	64	24.6	NA	NA	1	3	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	98	50	10.9	NA	NA	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	99	52	14.3	NA	NA	1	2	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	100	55	12.9	NA	NA	4	3	0	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	101	49	11.4	NA	NA	4	1	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	102	48	11.4	NA	NA	8	2	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	103	50	12.1	NA	NA	3	1	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	104	45	12.8	NA	NA	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	105	60	18.3	NA	NA	9	4	0	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2013	March	2013_March	3	106	52	14.7	NA	NA	3	0	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
