X1st_Inf_Code	X2nd_Inf_Code	Mussel	Dis_from_1st	X1st_Inf_Nmbr	Dis_from_2nd	X2nd_Inf_Nmbr	Total_Dis	Total_Inf	HomHet	Total_InfRate	InfRate1	InfRate2	Inf_combo	Mint_infRate	Mori_infRate	dose	inf	Parasite	round
Mori	Mori	1	1	11	3	10	4	21	homolog	0.19047619	0.090909091	0.3	MoriMori	NA	0.19047619	11	1	Mori	inf1
Mori	Mori	2	0	9	0	4	0	13	homolog	0	0	0	MoriMori	NA	0	9	0	Mori	inf1
Mori	Mori	3	2	9	7	9	9	18	homolog	0.5	0.222222222	0.777777778	MoriMori	NA	0.5	9	2	Mori	inf1
Mori	Mori	4	2	7	5	8	7	15	homolog	0.466666667	0.285714286	0.625	MoriMori	NA	0.466666667	7	2	Mori	inf1
Mori	Mori	5	4	11	2	11	6	22	homolog	0.272727273	0.363636364	0.181818182	MoriMori	NA	0.272727273	11	4	Mori	inf1
Mori	Mori	6	4	12	1	8	5	20	homolog	0.25	0.333333333	0.125	MoriMori	NA	0.25	12	4	Mori	inf1
Mori	Mori	7	4	11	8	11	12	22	homolog	0.545454545	0.363636364	0.727272727	MoriMori	NA	0.545454545	11	4	Mori	inf1
Mori	Mori	8	1	7	1	6	2	13	homolog	0.153846154	0.142857143	0.166666667	MoriMori	NA	0.153846154	7	1	Mori	inf1
Mori	Mori	9	0	6	3	7	3	13	homolog	0.230769231	0	0.428571429	MoriMori	NA	0.230769231	6	0	Mori	inf1
Mori	Mori	10	1	5	3	10	4	15	homolog	0.266666667	0.2	0.3	MoriMori	NA	0.266666667	5	1	Mori	inf1
Mori	Mori	1	1	11	3	10	4	21	homolog	0.19047619	0.090909091	0.3	MoriMori	NA	0.19047619	10	3	Mori	inf2
Mori	Mori	2	0	9	0	4	0	13	homolog	0	0	0	MoriMori	NA	0	4	0	Mori	inf2
Mori	Mori	3	2	9	7	9	9	18	homolog	0.5	0.222222222	0.777777778	MoriMori	NA	0.5	9	7	Mori	inf2
Mori	Mori	4	2	7	5	8	7	15	homolog	0.466666667	0.285714286	0.625	MoriMori	NA	0.466666667	8	5	Mori	inf2
Mori	Mori	5	4	11	2	11	6	22	homolog	0.272727273	0.363636364	0.181818182	MoriMori	NA	0.272727273	11	2	Mori	inf2
Mori	Mori	6	4	12	1	8	5	20	homolog	0.25	0.333333333	0.125	MoriMori	NA	0.25	8	1	Mori	inf2
Mori	Mori	7	4	11	8	11	12	22	homolog	0.545454545	0.363636364	0.727272727	MoriMori	NA	0.545454545	11	8	Mori	inf2
Mori	Mori	8	1	7	1	6	2	13	homolog	0.153846154	0.142857143	0.166666667	MoriMori	NA	0.153846154	6	1	Mori	inf2
Mori	Mori	9	0	6	3	7	3	13	homolog	0.230769231	0	0.428571429	MoriMori	NA	0.230769231	7	3	Mori	inf2
Mori	Mori	10	1	5	3	10	4	15	homolog	0.266666667	0.2	0.3	MoriMori	NA	0.266666667	10	3	Mori	inf2
control	Mori	11	NA	NA	2	18	2	18	single	0.111111111	NA	0.111111111	controlMori	NA	0.111111111	18	2	Mori	inf2
control	Mori	12	NA	NA	3	19	3	19	single	0.157894737	NA	0.157894737	controlMori	NA	0.157894737	19	3	Mori	inf2
control	Mori	13	NA	NA	4	17	4	17	single	0.235294118	NA	0.235294118	controlMori	NA	0.235294118	17	4	Mori	inf2
control	Mori	14	NA	NA	1	20	1	20	single	0.05	NA	0.05	controlMori	NA	0.05	20	1	Mori	inf2
control	Mori	15	NA	NA	17	22	17	22	single	0.772727273	NA	0.772727273	controlMori	NA	0.772727273	22	17	Mori	inf2
control	Mori	16	NA	NA	7	23	7	23	single	0.304347826	NA	0.304347826	controlMori	NA	0.304347826	23	7	Mori	inf2
control	Mori	17	NA	NA	1	19	1	19	single	0.052631579	NA	0.052631579	controlMori	NA	0.052631579	19	1	Mori	inf2
control	Mori	18	NA	NA	5	24	5	24	single	0.208333333	NA	0.208333333	controlMori	NA	0.208333333	24	5	Mori	inf2
control	Mori	19	NA	NA	5	22	5	22	single	0.227272727	NA	0.227272727	controlMori	NA	0.227272727	22	5	Mori	inf2
control	Mori	20	NA	NA	13	24	13	24	single	0.541666667	NA	0.541666667	controlMori	NA	0.541666667	24	13	Mori	inf2
Mori	control	21	22	23	NA	NA	22	23	single	0.956521739	0.956521739	NA	Moricontrol	NA	0.956521739	23	22	Mori	inf1
Mori	control	22	6	19	NA	NA	6	19	single	0.315789474	0.315789474	NA	Moricontrol	NA	0.315789474	19	6	Mori	inf1
Mori	control	23	6	21	NA	NA	6	21	single	0.285714286	0.285714286	NA	Moricontrol	NA	0.285714286	21	6	Mori	inf1
Mori	control	24	9	21	NA	NA	9	21	single	0.428571429	0.428571429	NA	Moricontrol	NA	0.428571429	21	9	Mori	inf1
Mori	control	25	2	19	NA	NA	2	19	single	0.105263158	0.105263158	NA	Moricontrol	NA	0.105263158	19	2	Mori	inf1
Mori	control	26	11	22	NA	NA	11	22	single	0.5	0.5	NA	Moricontrol	NA	0.5	22	11	Mori	inf1
Mori	control	27	2	24	NA	NA	2	24	single	0.083333333	0.083333333	NA	Moricontrol	NA	0.083333333	24	2	Mori	inf1
Mori	control	28	6	18	NA	NA	6	18	single	0.333333333	0.333333333	NA	Moricontrol	NA	0.333333333	18	6	Mori	inf1
Mori	control	29	13	18	NA	NA	13	18	single	0.722222222	0.722222222	NA	Moricontrol	NA	0.722222222	18	13	Mori	inf1
Mori	control	30	5	10	NA	NA	5	10	single	0.5	0.5	NA	Moricontrol	NA	0.5	10	5	Mori	inf1
Mori	Mint	31	2	11	5	11	7	22	heterolog	0.318181818	0.181818182	0.454545455	MoriMint	0.454545455	0.181818182	11	2	Mori	inf1
Mori	Mint	32	1	10	2	10	3	20	heterolog	0.15	0.1	0.2	MoriMint	0.2	0.1	10	1	Mori	inf1
Mori	Mint	33	0	12	4	12	4	24	heterolog	0.166666667	0	0.333333333	MoriMint	0.333333333	0	12	0	Mori	inf1
Mori	Mint	34	3	12	0	11	3	23	heterolog	0.130434783	0.25	0	MoriMint	0	0.25	12	3	Mori	inf1
Mori	Mint	35	2	11	10	12	12	23	heterolog	0.52173913	0.181818182	0.833333333	MoriMint	0.833333333	0.181818182	11	2	Mori	inf1
Mori	Mint	36	5	11	3	10	8	21	heterolog	0.380952381	0.454545455	0.3	MoriMint	0.3	0.454545455	11	5	Mori	inf1
Mori	Mint	37	1	4	3	4	4	8	heterolog	0.5	0.25	0.75	MoriMint	0.75	0.25	4	1	Mori	inf1
Mori	Mint	38	1	9	6	12	7	21	heterolog	0.333333333	0.111111111	0.5	MoriMint	0.5	0.111111111	9	1	Mori	inf1
Mori	Mint	39	5	11	6	12	11	23	heterolog	0.47826087	0.454545455	0.5	MoriMint	0.5	0.454545455	11	5	Mori	inf1
Mori	Mint	40	2	12	2	12	4	24	heterolog	0.166666667	0.166666667	0.166666667	MoriMint	0.166666667	0.166666667	12	2	Mori	inf1
Mori	Mint	31	2	11	5	11	7	22	heterolog	0.318181818	0.181818182	0.454545455	MoriMint	0.454545455	0.181818182	11	5	Mint	inf2
Mori	Mint	32	1	10	2	10	3	20	heterolog	0.15	0.1	0.2	MoriMint	0.2	0.1	10	2	Mint	inf2
Mori	Mint	33	0	12	4	12	4	24	heterolog	0.166666667	0	0.333333333	MoriMint	0.333333333	0	12	4	Mint	inf2
Mori	Mint	34	3	12	0	11	3	23	heterolog	0.130434783	0.25	0	MoriMint	0	0.25	11	0	Mint	inf2
Mori	Mint	35	2	11	10	12	12	23	heterolog	0.52173913	0.181818182	0.833333333	MoriMint	0.833333333	0.181818182	12	10	Mint	inf2
Mori	Mint	36	5	11	3	10	8	21	heterolog	0.380952381	0.454545455	0.3	MoriMint	0.3	0.454545455	10	3	Mint	inf2
Mori	Mint	37	1	4	3	4	4	8	heterolog	0.5	0.25	0.75	MoriMint	0.75	0.25	4	3	Mint	inf2
Mori	Mint	38	1	9	6	12	7	21	heterolog	0.333333333	0.111111111	0.5	MoriMint	0.5	0.111111111	12	6	Mint	inf2
Mori	Mint	39	5	11	6	12	11	23	heterolog	0.47826087	0.454545455	0.5	MoriMint	0.5	0.454545455	12	6	Mint	inf2
Mori	Mint	40	2	12	2	12	4	24	heterolog	0.166666667	0.166666667	0.166666667	MoriMint	0.166666667	0.166666667	12	2	Mint	inf2
Mint	Mint	41	11	12	3	11	14	23	homolog	0.608695652	0.916666667	0.272727273	MintMint	0.608695652	NA	12	11	Mint	inf1
Mint	Mint	42	4	11	1	12	5	23	homolog	0.217391304	0.363636364	0.083333333	MintMint	0.217391304	NA	11	4	Mint	inf1
Mint	Mint	43	8	12	1	11	9	23	homolog	0.391304348	0.666666667	0.090909091	MintMint	0.391304348	NA	12	8	Mint	inf1
Mint	Mint	44	9	12	3	10	12	22	homolog	0.545454545	0.75	0.3	MintMint	0.545454545	NA	12	9	Mint	inf1
Mint	Mint	45	7	12	2	12	9	24	homolog	0.375	0.583333333	0.166666667	MintMint	0.375	NA	12	7	Mint	inf1
Mint	Mint	46	8	11	3	12	11	23	homolog	0.47826087	0.727272727	0.25	MintMint	0.47826087	NA	11	8	Mint	inf1
Mint	Mint	47	9	11	1	10	10	21	homolog	0.476190476	0.818181818	0.1	MintMint	0.476190476	NA	11	9	Mint	inf1
Mint	Mint	48	9	12	1	12	10	24	homolog	0.416666667	0.75	0.083333333	MintMint	0.416666667	NA	12	9	Mint	inf1
Mint	Mint	49	2	12	2	12	4	24	homolog	0.166666667	0.166666667	0.166666667	MintMint	0.166666667	NA	12	2	Mint	inf1
Mint	Mint	50	8	8	2	8	10	16	homolog	0.625	1	0.25	MintMint	0.625	NA	8	8	Mint	inf1
Mint	Mint	41	11	12	3	11	14	23	homolog	0.608695652	0.916666667	0.272727273	MintMint	0.608695652	NA	11	3	Mint	inf2
Mint	Mint	42	4	11	1	12	5	23	homolog	0.217391304	0.363636364	0.083333333	MintMint	0.217391304	NA	12	1	Mint	inf2
Mint	Mint	43	8	12	1	11	9	23	homolog	0.391304348	0.666666667	0.090909091	MintMint	0.391304348	NA	11	1	Mint	inf2
Mint	Mint	44	9	12	3	10	12	22	homolog	0.545454545	0.75	0.3	MintMint	0.545454545	NA	10	3	Mint	inf2
Mint	Mint	45	7	12	2	12	9	24	homolog	0.375	0.583333333	0.166666667	MintMint	0.375	NA	12	2	Mint	inf2
