ID	HostSpecies	Treatment	HostSize	StartDate	Enddate	Cop_infiltrated	Vibriocolonies	VibrioRates	M__	M__	EggSacks	M_Juvenile	InfectedY/N	M_Total	inf_rate
MoMeMe1	M_edulis	MoMe	40	05_05_2018	09_07_2018	25	0	0	0	0	0	0	N	0	0
MoMeMe2	M_edulis	MoMe	36	05_05_2018	09_07_2018	16	0	0	0	2	2	0	Y	2	0.125
MoMeMe3	M_edulis	MoMe	39	05_05_2018	10_07_2018	25	6	1.2	0	0	0	0	N	0	0
MoMeMe4	M_edulis	MoMe	40	05_05_2018	10_07_2018	25	0	0	0	0	0	0	N	0	0
MoMeMe5	M_edulis	MoMe	39	05_05_2018	11_07_2018	25	2	0.4	0	0	0	0	N	0	0
MoMeMe6	M_edulis	MoMe	44	05_05_2018	11_07_2018	20	2	0.4	0	0	0	0	N	0	0
MoMeMe7	M_edulis	MoMe	40	06_05_2018	12_07_2018	25	3	0.6	0	4	0	0	Y	4	0.16
MoMeMe8	M_edulis	MoMe	35	07_05_2018	12_07_2018	25	1	0.2	0	2	0	1	Y	3	0.12
MoMeMe9	M_edulis	MoMe	32	10_05_2018	16_07_2018	24	2	0.4	0	4	0	0	Y	4	0.166666667
MoMeMe10	M_edulis	MoMe	40	10_05_2018	16_07_2018	23	0	0	1	1	0	0	Y	2	0.086956522
MoMeMe11	M_edulis	MoMe	38	12_05_2018	17_07_2018	25	5	1	0	0	0	0	N	0	0
MoMeMe12	M_edulis	MoMe	38	12_05_2018	18_07_2018	25	2	0.4	0	0	0	0	N	0	0
MoMeCg1	C_gigas	MoMe	50	05_05_2018	09_07_2018	21	0	0	0	0	0	0	N	0	0
MoMeCg2	C_gigas	MoMe	50	05_05_2018	09_07_2018	19	3	0.6	0	0	0	0	N	0	0
MoMeCg3	C_gigas	MoMe	41	05_05_2018	10_07_2018	20	24	4.8	0	0	0	0	N	0	0
MoMeCg4	C_gigas	MoMe	33	05_05_2018	10_07_2018	24	235	47	0	0	0	0	N	0	0
MoMeCg5	C_gigas	MoMe	41	05_05_2018	10_07_2018	23	23	4.6	1	1	1	1	Y	3	0.130434783
MoMeCg6	C_gigas	MoMe	37	05_05_2018	10_07_2018	24	4	0.8	0	0	0	0	Y	1	0.041666667
MoMeCg7	C_gigas	MoMe	34	10_05_2018	16_07_2018	25	40	8	0	0	0	0	N	0	0
MoMeCg8	C_gigas	MoMe	39	10_05_2018	16_07_2018	23	7	1.4	0	0	0	0	N	0	0
MoMeCg9	C_gigas	MoMe	39	10_05_2018	15_07_2018	25	16	3.2	0	0	0	7	Y	7	0.28
MoMeCg10	C_gigas	MoMe	48	10_05_2018	16_07_2018	20	7	1.4	0	0	0	0	N	0	0
MoCgMe1	M_edulis	MoCg	47	08_05_2018	11_07_2018	25	1	0.2	0	5	5	0	Y	5	0.2
MoCgMe2	M_edulis	MoCg	33	08_05_2018	11_07_2018	25	4	0.8	0	0	0	0	N	0	0
MoCgMe3	M_edulis	MoCg	41	08_05_2018	12_07_2018	24	2	0.4	0	4	0	0	Y	4	0.166666667
MoCgMe4	M_edulis	MoCg	37	08_05_2018	12_07_2018	25	53	10.6	0	4	0	0	Y	4	0.16
MoCgMe5	M_edulis	MoCg	37	09_05_2018	12_07_2018	25	7	1.4	0	4	0	0	Y	4	0.16
MoCgMe6	M_edulis	MoCg	43	09_05_2018	14_07_2018	25	0	0	0	4	0	0	Y	4	0.16
MoCgMe7	M_edulis	MoCg	32	09_05_2018	14_07_2018	25	0	0	0	0	0	0	N	0	0
MoCgMe8	M_edulis	MoCg	39	09_05_2018	14_07_2018	24	3	0.6	2	3	0	0	Y	5	0.208333333
MoCgMe9	M_edulis	MoCg	37	09_05_2018	14_07_2018	21	23	4.6	0	6	0	0	Y	6	0.285714286
MoCgMe10	M_edulis	MoCg	33	10_05_2018	14_07_2018	25	3	0.6	1	1	0	0	Y	2	0.08
MoCgCg1	C_gigas	MoCg	40	08_05_2018	13_07_2018	23	1	0.2	0	0	0	2	Y	2	0.086956522
MoCgCg2	C_gigas	MoCg	41	08_05_2018	13_07_2018	23	8	1.6	0	0	0	7	Y	7	0.304347826
MoCgCg3	C_gigas	MoCg	37	08_05_2018	13_07_2018	24	70	14	0	2	0	6	Y	8	0.333333333
MoCgCg4	C_gigas	MoCg	35	08_05_2018	13_07_2018	17	12	2.4	1	0	0	2	Y	3	0.176470588
MoCgCg5	C_gigas	MoCg	40	09_05_2018	13_07_2018	20	60	12	1	0	0	3	Y	4	0.2
MoCgCg6	C_gigas	MoCg	45	09_05_2018	14_07_2018	25	3	0.6	1	0	0	7	Y	8	0.32
MoCgCg7	C_gigas	MoCg	35	09_05_2018	14_07_2018	24	13	2.6	0	1	0	0	Y	1	0.041666667
MoCgCg8	C_gigas	MoCg	39	09_05_2018	14_07_2018	25	17	3.4	0	0	0	1	Y	1	0.04
MoCgCg9	C_gigas	MoCg	45	10_05_2018	14_07_2018	24	34	6.8	0	0	0	0	N	0	0
MoCgCg10	C_gigas	MoCg	38	10_05_2018	16_07_2018	24	23	4.6	0	0	0	2	Y	2	0.083333333
MiMe1	M_edulis	Mi	41	11_05_2018	16_07_2018	25	2	0.4	4	3	0	0	Y	7	0.28
MiMe2	M_edulis	Mi	34	11_05_2018	16_07_2018	25	0	0	3	8	0	0	Y	11	0.44
MiMe3	M_edulis	Mi	37	11_05_2018	17_07_2018	25	3	0.6	0	0	0	10	Y	10	0.4
MiMe5	M_edulis	Mi	36	19_05_2018	21_07_2018	25	7	1.4	19	6	0	0	Y	25	1
MiMe6	M_edulis	Mi	35	19_05_2018	21_07_2018	25	0	0	2	15	0	0	Y	17	0.68
MiMe7	M_edulis	Mi	33	20_05_2018	21_07_2018	24	16	3.2	2	11	0	0	Y	13	0.541666667
MiMe8	M_edulis	Mi	40	20_05_2018	21_07_2018	24	1	0.2	8	8	0	0	Y	16	0.666666667
MiMe9	M_edulis	Mi	35	22_05_2018	22_07_2018	24	21	4.2	6	3	0	0	Y	9	0.375
MiMe10	M_edulis	Mi	35	22_05_2018	22_07_2018	25	2	0.4	9	16	0	0	Y	25	1
MiCg1	C_gigas	Mi	32	11_05_2018	17_07_2018	22	23	4.6	0	0	0	0	N	0	0
MiCg2	C_gigas	Mi	43	11_05_2018	17_07_2018	22	34	6.8	0	0	0	0	N	0	0
MiCg3	C_gigas	Mi	50	11_05_2018	17_07_2018	22	2	0.4	0	0	0	0	N	0	0
MiCg4	C_gigas	Mi	33	12_05_2018	17_07_2018	20	nohemolympj	nohemolympj	0	0	0	0	N	0	0
MiCg5	C_gigas	Mi	38	20_05_2018	22_07_2018	22	nohemolymph	nohemolympj	0	0	0	0	N	0	0
MiCg6	C_gigas	Mi	38	20_05_2018	22_07_2018	24	15	3	0	0	0	0	N	0	0
MiCg7	C_gigas	Mi	43	21_05_2018	22_07_2018	23	9	1.8	0	0	0	0	N	0	0
MiCg8	C_gigas	Mi	50	21_05_2018	22_07_2018	20	65	13	0	0	0	0	N	0	0
MiCg9	C_gigas	Mi	42	22_05_2018	22_07_2018	21	100	20	0	0	0	0	N	0	0
