Mussel_name	Parasite	treatment	Parasite_count	exposureDose	MO_sum	MI_sum	infectionRate
SD1	Mint	coinf	9	12	3	9	0.5
SD10	Mint	coinf	4	12	0	4	0.173913043
SD11	Mint	coinf	5	12	1	5	0.260869565
SD12	Mint	coinf	1	12	4	1	0.25
SD13	Mint	coinf	8	12	4	8	0.5
SD15	Mint	coinf	8	12	2	8	0.47826087
SD2	Mint	coinf	5	12	1	5	0.25
SD3	Mint	coinf	12	12	6	12	0.791666667
SD4	Mint	coinf	8	12	2	8	0.416666667
SD5	Mint	coinf	1	12	1	1	0.083333333
SD6	Mint	coinf	3	12	0	3	0.125
SD8	Mint	coinf	9	12	0	9	0.375
SD9	Mint	coinf	6	12	1	6	0.291666667
SS1	Mint	inf	15	25	0	15	0.64
SS10	Mint	inf	13	24	0	13	0.541666667
SS11	Mint	inf	8	24	0	8	0.333333333
SS12	Mint	inf	7	23	0	7	0.304347826
SS13	Mint	inf	11	24	0	11	0.458333333
SS14	Mint	inf	13	24	0	13	0.541666667
SS2	Mint	inf	17	24	0	16	0.708333333
SS3	Mint	inf	12	24	0	11	0.5
SS4	Mint	inf	20	24	0	20	0.833333333
SS6	Mint	inf	8	24	0	8	0.333333333
SS7	Mint	inf	15	24	0	12	0.625
SS8	Mint	inf	2	24	0	2	0.083333333
SS9	Mint	inf	9	20	0	9	0.45
SX10	Mori	inf	0	24	0	0	0
SX11	Mori	inf	4	24	4	0	0.166666667
SX12	Mori	inf	0	24	0	0	0
SX13	Mori	inf	0	24	0	0	0
SX14	Mori	inf	10	24	10	0	0.416666667
SX15	Mori	inf	4	23	4	0	0.173913043
SX2	Mori	inf	5	24	4	0	0.208333333
SX3	Mori	inf	10	24	10	0	0.416666667
SX6	Mori	inf	5	24	5	0	0.208333333
SX7	Mori	inf	5	24	5	0	0.208333333
SX9	Mori	inf	0	24	0	0	0
SD1	Mori	coinf	3	12	3	9	0.5
SD10	Mori	coinf	0	12	0	4	0.173913043
SD11	Mori	coinf	1	12	1	5	0.260869565
SD12	Mori	coinf	4	12	4	1	0.25
SD13	Mori	coinf	4	12	4	8	0.5
SD15	Mori	coinf	2	12	2	8	0.47826087
SD2	Mori	coinf	1	12	1	5	0.25
SD3	Mori	coinf	6	12	6	12	0.791666667
SD4	Mori	coinf	2	12	2	8	0.416666667
SD5	Mori	coinf	1	12	1	1	0.083333333
SD6	Mori	coinf	0	12	0	3	0.125
SD8	Mori	coinf	0	12	0	9	0.375
SD9	Mori	coinf	1	12	1	6	0.291666667
